 16 PERENNIAL CROPS : ROOT ZONE AND WATER USE COEFFICIENT DATA
  CROP  DEPTH(IN) .............  KC  / AWD  ...........................
ALFALFA       0.60 0.75 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.80 0.70
        36 72 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
AVOCADO       0.90 0.90 0.90 0.90 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        30 60 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
BLUEBERRY     1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        12 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
CITRUS        0.90 0.90 0.90 0.90 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        30 60 0.67 0.67 0.33 0.33 0.33 0.33 0.67 0.67 0.67 0.67 0.67 0.67
FERNS         1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        10 20 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
GENERIC CROP  1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        24 48 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
GRAPES        0.40 0.40 0.55 0.75 0.80 0.80 0.80 0.80 0.80 0.80 0.70 0.50
        30 60 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40
NURSERY,CNTR. 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         8  8 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
NURSERY,FLD.  1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         8 16 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
PASTURE       0.65 0.70 0.75 0.90 0.90 0.95 0.95 0.95 0.90 0.80 0.70 0.65
        36 72 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67 0.67
PEACHES       0.70 0.75 0.80 0.85 0.90 1.00 1.00 1.00 0.95 0.80 0.80 0.70
        30 60 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
PECANS        0.70 0.75 0.80 0.85 0.90 1.00 1.00 1.00 0.95 0.80 0.80 0.70
        30 60 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
SOD           1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         9 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
SUGARCANE     0.80 0.60 0.55 0.80 0.95 1.00 1.05 1.05 1.05 1.00 0.95 0.90
        18 36 0.65 0.65 0.35 0.35 0.35 0.50 0.65 0.65 0.65 0.65 0.65 0.65
TURF,GOLF     1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
         6 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50
TURF,LNDSCP.  1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
        12 24 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50

 44  ANNUAL CROPS  : ROOT ZONE AND WATER USE COEFFICIENT DATA
   CROP   DEPTH(IN) ...KC...  .....FRACTION ...  ALLOWABLE DEPLETION
BARLEY       12 18 1.05 0.25 0.15 0.19 0.44 0.22 0.60 0.60 0.60 0.90
BEANS,GRN.    8 12 0.95 0.85 0.20 0.33 0.33 0.14 0.45 0.45 0.45 0.45
