FLORIDA SOIL SERIES, TEXTURES, AND AVAIL. WATER CAPACITY
 766   NUMBER OF SOIL TYPES                             
                                                        
  1 ADAMSVILLE           FS   S                         
2  12.05.10 72.03.08                                    
  2 ADAMSVILLE,BD.       FS   S                         
2   8.05.10 80.03.08                                    
  3 ADAMSVILLE VAR.      FS                             
3  33.02.05 49.20.25 80.02.05                           
  4 ADAMSVILLE VAR.      S                              
3  54.02.05 70.20.20 80.02.05                           
  5 ADAMSVILLE VAR.      S    FS                        
2   8.05.10 80.05.05                                    
  6 ADAMSVILLE VAR.      FS                             
2  10.10.15 80.05.10                                    
  7 ADAMSVILLE VAR.      SIL  ML                        
2  26.12.20 80.20.20                                    
  8 ADAMSVILL.VAR,DK.SUR LFS                            
3  11.08.11 24.05.10 80.04.08                           
  9 ALAGA                LS   LFS  FS                   
2   6.05.09 80.05.09                                    
 10 ALAGA,MOD.WET        LS   LFS  FS                   
2   9.05.09 80.05.09                                    
 11 ALAPAHA              LS   S    LFS                  
3  33.05.08 48.10.13 70.08.10                           
 12 ALBANY               S    FS                        
3  48.02.04 56.08.10 88.10.16                           
 13 ALBANY               LS   LFS                       
3  48.02.04 56.08.10 88.10.16                           
 14 ALLANTON             S    FS   LFS                  
3  18.02.06 52.02.06 80.02.06                           
 15 ALPIN                FS   S    LS                   
3   3.05.10 54.03.09 99.06.09                           
 16 ALPIN,OCC.FL.        FS   S    LS                   
3   4.05.10 54.03.09 99.06.09                           
 17 AMERICUS             LS   S    LFS                  
3   7.05.08 47.09.12 72.09.12                           
 18 ANCLOTE              S    FS                        
2  19.10.15 72.03.10                                    
 19 ANCLOTE              LS   LFS                       
2  19.10.15 72.03.10                                    
 20 ANCLOTE,DP.          S    FS                        
2  19.10.15 72.03.10                                    
 21 ANCLOTE,DP.          LS   LFS                       
2  19.10.15 72.03.10                                    
 22 ANCLOTE,FREQ.FL.     S    FS                        
2  18.10.15 80.03.10                                    
 23 ANCLOTE VAR.         MK                             
3  15.10.35 27.08.12 80.05.10                           
 24 ANGIE                FSL  SL                        
2  10.10.15 65.12.18                                    
 25 ANGIE                VFSL SIL                       
2  10.13.24 65.12.18                                    
 26 ANGIE VAR.           L    FSL  SL                   
3   4.15.20  7.10.15 76.10.15                           
 27 ANKONA               S    FS                        
4  38.02.05 48.10.20 57.13.17 80.05.10                  
 28 ANKONA,DP.           S    FS                        
4  38.02.08 48.10.20 57.13.17 80.05.10                  
 29 APALACHEE            C                              
2  25.12.18 60.12.18                                    
 30 APOPKA               S    FS                        
2  55.03.05 80.12.17                                    
 31 APOPKA VAR.          FS                             
4   7.03.08 24.02.05 60.05.10 88.10.15                  
 32 ARCHBOLD             S    FS                        
2   4.03.05 80.02.03                                    
 33 ARCHER               LS   LFS                       
3  12.10.25 16.10.18 36.10.20                           
 34 ARCHER               S    FS                        
3  12.05.10 16.10.18 36.10.20                           
 35 ARDILLA              SL   FSL                       
3   9.10.15 30.10.14 60.10.15                           
 36 ARDILLA              LS   LFS  COS                  
3   9.06.11 30.10.14 60.10.15                           
 37 ARENTS               S    FS                        
1  80.02.05                                             
 38 ARENTS,MOD.WET       S    FS   S                    
3  10.02.08 32.02.08 60.02.08                           
 39 ARENTS,MOD.WET       LS   SL                        
3  10.05.10 32.02.08 60.02.08                           
 40 ARENTS,ORG.SUBS.     S    FS   S                    
4  12.02.10 38.02.10 52.30.50 72.02.10                  
 41 ARENTS,V.ST.         VAR                            
1  80.02.10                                             
 42 ARENTS,SAN.LNDF.     S    FS                        
1  24.02.08                                             
 43 ARIPEKA              FS   LFS                       
2  13.05.10 21.10.15                                    
 44 ARREDONDO            FS   S                         
4  65.05.10 70.08.15 77.12.17 90.15.20                  
 45 ARREDONDO            LS   LFS                       
4  65.08.12 70.08.15 77.12.17 90.15.20                  
 46 ARREDONDO,BD.        FS   S                         
3  58.05.10 65.08.15 95.12.17                           
 47 ASTATULA             S    FS                        
2   3.04.10 86.02.05                                    
 48 ASTOR                S    FS   LS                   
2  32.20.25 80.05.10                                    
 49 ASTOR                S    FS   LS                   
2  32.15.20 80.05.10                                    
 50 ASTOR,FL.            S    FS   LS                   
2  32.20.25 80.05.10                                    
 51 ASTOR,FL.            S    FS   LS                   
2  32.15.20 80.05.10                                    
 52 BAKERSVILLE          MK                             
4   5.20.25 41.10.20 59.10.20 86.05.15                  
 53 BASINGER             S    FS                        
3  18.03.07 36.10.15 60.05.10                           
 54 BASINGER,DP.         S    FS                        
4   4.03.07 28.05.10 42.10.15 80.05.10                  
 55 BASINGER,DP.         MK                             
4   4.30.50 28.05.10 42.10.15 80.05.10                  
 56 BASINGER,FL.         S    FS                        
3  28.03.07 42.10.15 80.05.10                           
 57 BAYBORO              FSL                            
2  14.11.15 64.14.18                                    
 58 BAYBORO              L    CL                        
2  14.15.20 64.14.18                                    
 59 BAYBORO              FSL  L                         
2  14.20.26 64.14.18                                    
 60 BAYBORO,PD.          FSL                            
2  14.11.15 64.14.18                                    
 61 BAYBORO,PD.          L    CL                        
2  14.15.20 64.14.18                                    
 62 BAYBORO,PD.          FSL  L                         
2  14.20.26 64.14.18                                    
 63 BAYVI                LS   FS   S                    
2  28.01.03 80.01.03                                    
 64 BENNDALE             FSL  SL                        
4   5.10.15 33.12.18 68.12.18 73.10.15                  
 65 BENNDALE             L                              
4   5.10.15 33.12.18 68.12.18 73.10.15                  
 66 BENNDALE             LS                             
4   5.05.10 33.12.18 68.12.18 73.10.15                  
 67 BESSIE               MK                             
3  18.25.35 44.15.18 80.05.10                           
 68 BETHERA              FSL                            
3   7.11.16 68.14.18 80.12.16                           
 69 BETHERA              L    SIL                       
3   7.11.16 68.14.18 80.12.16                           
 70 BETHERA              CL                             
3   7.11.16 68.14.18 80.12.16                           
 71 BETHERA,FL.          FSL  SL                        
3   7.11.16 68.14.18 80.12.16                           
 72 BETHERA,FL.          L    SIL                       
3   7.11.16 68.14.18 80.12.16                           
 73 BETHERA,FL.          CL                             
3   7.11.16 68.14.18 80.12.16                           
 74 BIBB                 SL   FSL                       
2  12.12.18 60.12.20                                    
 75 BIBB                 L    SIL                       
2  12.15.20 60.12.20                                    
 76 BIBB                 S    LS                        
2  12.06.10 60.12.20                                    
 77 BIGBEE               LS   LFS                       
2  17.05.10 80.05.08                                    
 78 BIGBEE               S    FS                        
2  17.05.10 80.05.08                                    
 79 BINNSVILLE           SICL SIC                       
2   8.15.18 12.12.16                                    
 80 BIVANS               S    LS   LFS                  
4  15.10.20 45.10.15 61.05.15 81.05.15                  
 81 BLADEN               FSL  SL                        
3  14.10.13 41.12.16 62.12.16                           
 82 BLADEN               L    SIL                       
3  14.14.18 41.12.16 62.12.16                           
 83 BLADEN,PD.           FSL  SL                        
3  14.10.13 41.12.16 62.12.16                           
 84 BLADEN,PD.           L    SIL                       
3  14.14.18 41.12.16 62.12.16                           
 85 BLANTON              S    FS   COS                  
3  58.03.07 62.10.15 80.10.15                           
 86 BLANTON              LS   LFS                       
3  58.05.10 62.10.15 80.10.15                           
 87 BLANTON              S                              
3  58.02.04 62.10.15 80.10.15                           
 88 BLANTON,OCC.FL.      FS                             
3   7.08.12 52.05.12 80.07.15                           
 89 BLICHTON             S    LS   LFS                  
5  26.05.10 30.10.15 45.10.15 77.05.15 80.08.12         
 90 BLUFF                SCL                            
4  17.18.20 29.12.17 38.12.17 60.12.17                  
 91 BLUFF,LM.SUBS.       SCL                            
3  22.18.20 45.12.17 50.12.17                           
 92 BOARDMAN             S    LS   LFS                  
6  16.05.10 22.07.12 34.12.15 45.13.17 56.15.18 68.15.18
 93 BOCA                 S    FS                        
3   7.05.10 25.02.05 32.10.15                           
 94 BOCA,DP.             S    FS                        
3   5.05.10 28.02.05 36.10.15                           
 95 BOCA,SL.             FS                             
3   3.05.10 33.03.05 38.10.15                           
 96 BOCA,TD.             FS                             
3   5.05.10 26.05.10 32.10.15                           
 97 BOHICKET             SICL SIC  C                    
2  10.02.06 49.02.06                                    
 98 BONIFAY              S    FS                        
3  57.03.08 63.10.15 73.10.15                           
 99 BONIFAY              LS   LFS                       
3  57.05.10 63.10.15 73.10.15                           
100 BONIFAY VAR.         S    FS                        
2  42.03.08 80.10.15                                    
101 BONNEAU              LS   LFS                       
3  22.05.11 50.10.15 74.10.16                           
102 BONNEAU              S    FS                        
3  22.04.08 50.10.15 74.10.16                           
103 BOSWELL              FSL  SL                        
2   5.15.20 70.14.18                                    
104 BOSWELL              SIL  L                         
2   5.15.20 70.14.18                                    
105 BOSWELL              CL   SICL C                    
2   5.14.18 70.14.18                                    
106 BOWIE                FSL                            
4  14.10.15 48.13.18 72.13.18 85.13.18                  
107 BOWIE                LFS                            
4  14.07.09 48.13.18 72.13.18 85.13.18                  
108 BRADEN               S    FS                        
4   4.10.15 28.05.10 40.10.15 70.05.10                  
109 BRADENTON            S    FS                        
4   4.08.12 10.03.07 26.10.15 70.03.10                  
110 BRADENTON            LS   LFS                       
4   4.10.15 10.03.07 26.10.15 70.03.10                  
111 BRADENTON,FL.        S    FS                        
4   4.08.12 10.03.07 26.10.15 70.03.10                  
112 BRADENTON,FL.        LS   LFS                       
4   4.10.15 10.03.07 26.10.15 70.03.10                  
113 BRADENTON,LM.SUBS.   S    FS                        
3   6.05.10 13.05.10 47.10.15                           
114 BRADENTON,LM.SUBS.   LS   LFS                       
3   6.10.15 13.05.10 47.10.15                           
115 BRIGHTON             PT                             
1  63.20.25                                             
116 BROWARD              S    FS                        
2   4.05.10 26.03.08                                    
117 BROWARD VAR.         S    FS                        
4  14.05.05 20.10.15 27.05.10 34.05.10                  
118 BULOW                S    COS                       
4   5.05.07 20.02.05 45.02.05 50.10.15                  
119 BUSHNELL             FS   LFS                       
2  10.05.08 35.15.18                                    
120 CADILLAC             S    FS                        
4   7.05.10 52.04.08 76.06.15 99.08.18                  
121 CAHABA               SL   FSL                       
3   9.10.14 53.12.20 80.05.10                           
122 CAHABA               LS   LFS                       
3   9.05.10 53.12.20 80.05.10                           
123 CAHABA               L                              
3   9.11.15 53.12.20 80.05.10                           
124 CALOOSA              S    FS                        
2  27.02.05 80.15.20                                    
125 CANAVERAL            FS   S    COS                  
2  12.02.05 80.02.05                                    
126 CANAVERAL,ORG.SUBS.  FS   S    COS                  
3  45.05.05 70.20.20 80.05.05                           
127 CANAVERAL VAR.       S                              
3  50.01.04 55.20.25 60.10.15                           
128 CANDLER              S    FS                        
4   5.04.08 67.02.06 95.05.08 99.10.15                  
129 CANDLER,BD.          S    FS                        
2  65.02.06 80.05.08                                    
130 CANDLER VAR.         FS                             
2  72.05.10 80.05.10                                    
131 CANDLER VAR,OVWSH.   C                              
2  17.15.20 78.02.05                                    
132 CANOVA               S    FS                        
4  13.02.05 23.10.15 57.10.15 80.10.15                  
133 CANOVA VAR.          FS                             
3   5.10.15 18.05.10 24.12.15                           
134 CAPTIVA              S    FS                        
5   6.10.15 15.05.10 26.05.10 30.05.05 80.05.05         
135 CARNEGIE             SL   LS   SL                   
4   5.05.08 20.10.14 32.10.12 65.10.12                  
136 CARNEGIE             SCL                            
4   5.10.14 20.10.14 32.10.12 65.10.12                  
137 CASSIA               S    FS                        
3  25.03.07 37.10.15 80.03.07                           
138 CASSIA,MOD.WELL DR.  S    FS                        
